Chan 0, Chan 1, 
0.021442,0.509708,
0.075123,0.45063,
0.053163,0.517016,
-0.085922,0.50849,
0.048893,0.513362,
0.061703,0.571221,
0.023882,0.496309,
0.076344,0.468902,
0.112335,0.394598,
0.039132,0.43845,
0.002531,0.453067,
0.041572,0.492046,
0.141006,0.522498,
0.067193,0.551123,
0.065973,0.534679,
-0.02797,0.486564,
0.037912,0.543205,
0.075734,0.433577,
-0.02065,0.515189,
0.023882,0.409215,
0.022662,0.513971,
0.086714,0.567567,
0.036082,0.420787,
0.028152,0.54016,
0.058653,0.50179,
0.066583,0.467075,
0.069023,0.532242,
0.083054,0.457939,
0.081834,0.408606,
-0.081042,0.314813,
-0.259778,0.214321,
-0.139604,0.219193,
-0.160955,0.171688,
-0.228667,0.143063,
-0.251848,0.171688,
-0.248188,0.125401,
-0.254898,0.261827,
-0.277469,0.086422,
-0.257338,0.15098,
-0.242698,0.153417,
-0.282959,0.213712,
-0.229887,0.165598,
-0.193286,0.183869,
-0.238428,0.107738,
-0.265879,0.136363,
-0.223177,0.096775,
-0.194506,0.109565,
-0.184136,0.015772,
-0.175595,0.11931,
-0.218907,0.146717,
-0.218907,0.039525,
-0.281129,0.123573,
-0.242698,0.098603,
-0.289669,0.11322,
-0.243918,0.104693,
-0.209757,0.134536,
-0.210367,0.095557,
-0.206096,0.117483,
-0.210977,0.062669,
-0.282349,0.071805,
-0.232327,0.076068,
-0.182916,0.204576,
-0.161565,0.099821,
-0.201216,-0.001281,
-0.171325,0.096775,
-0.189016,0.228938,
-0.198166,0.19605,
-0.144484,0.258781,
-0.139604,0.245991,
-0.089582,0.243555,
-0.138384,0.210058,
-0.132284,0.315423,
-0.161565,0.204576,
-0.169495,0.402516,
